formacao,modulo,aula,lesson_id,original_chars,revised_chars,source_url,status
Terrenos e Potencial Construtivo,Loteamento,"Divisão física, destaque e loteamento não são a mesma coisa",211,568,3427,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Terrenos e Potencial Construtivo,Como desenvolver o terreno,Do potencial ao cenário de desenvolvimento,212,548,2913,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Terrenos e Potencial Construtivo,Como desenvolver o terreno,Estudo prévio: para que serve,213,460,2822,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Terrenos e Potencial Construtivo,Como desenvolver o terreno,"Estratégias: vender, licenciar ou desenvolver",214,512,2934,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Terrenos e Potencial Construtivo,Pedido de Informação Prévia — PIP,O que é o PIP e quando faz sentido,215,631,2777,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Terrenos e Potencial Construtivo,Pedido de Informação Prévia — PIP,PIP em 2026: novos modelos e elementos,216,541,2785,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Terrenos e Potencial Construtivo,Pedido de Informação Prévia — PIP,O que um PIP favorável não significa,217,530,2781,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Terrenos e Potencial Construtivo,Do terreno ao projeto,As fases de um projeto imobiliário,218,504,2852,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Terrenos e Potencial Construtivo,Do terreno ao projeto,"Quem faz o quê: promotor, arquiteto, engenheiro e empreiteiro",219,513,3041,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Terrenos e Potencial Construtivo,Do terreno ao projeto,Prazo de desenvolvimento: não vender datas imaginárias,220,543,2992,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Terrenos e Potencial Construtivo,Análise económica,Preço do terreno vs. valor do projeto,221,570,2208,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Terrenos e Potencial Construtivo,Análise económica,Conta residual simplificada,222,591,2740,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/2015-105297982,REESCRITA
Terrenos e Potencial Construtivo,Análise económica,Viabilidade económica antes da angariação,223,563,2838,https://diariodarepublica.pt/dr/detalhe/lei/15-2013-257806,REESCRITA
Terrenos e Potencial Construtivo,Como anunciar terrenos,Como descrever potencial construtivo com rigor,224,554,2937,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Terrenos e Potencial Construtivo,Como anunciar terrenos,Que documentos suportam um bom anúncio,225,527,2881,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Terrenos e Potencial Construtivo,Como anunciar terrenos,"Fotografias, mapas e plantas: contexto sem enganar",226,529,2965,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Terrenos e Potencial Construtivo,Casos práticos,Caso: terreno urbano com índice aparentemente favorável,227,578,2244,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Terrenos e Potencial Construtivo,Casos práticos,Caso: terreno em REN alterada em 2026,228,545,2208,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Terrenos e Potencial Construtivo,Casos práticos,Caso: vendedor anuncia “projeto aprovado”,229,562,2894,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Urbanismo Prático,Fundamentos de Urbanismo e Ordenamento,"Urbanismo, ordenamento e gestão territorial",78,641,2932,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Urbanismo Prático,Fundamentos de Urbanismo e Ordenamento,"RJIGT, RJUE e regulamentos municipais",79,545,3301,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Urbanismo Prático,Fundamentos de Urbanismo e Ordenamento,Onde consultar informação oficial,80,530,2862,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Urbanismo Prático,Classificação e Qualificação do Solo,Solo urbano e solo rústico,81,604,2752,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Urbanismo Prático,Classificação e Qualificação do Solo,Reclassificação de solo,82,634,2731,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Urbanismo Prático,Classificação e Qualificação do Solo,Categorias de espaço e usos,83,519,2818,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Urbanismo Prático,Operações Urbanísticas e Procedimentos,Que operação está em causa?,84,584,2761,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232875,REESCRITA
Urbanismo Prático,Operações Urbanísticas e Procedimentos,"Licença, comunicação prévia e isenções",85,555,3249,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Urbanismo Prático,Operações Urbanísticas e Procedimentos,Modelos e elementos instrutórios de 2026,86,575,2403,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232875,REESCRITA
Urbanismo Prático,PIP — Informação Prévia,PIP do artigo 14.º,87,586,2745,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Urbanismo Prático,PIP — Informação Prévia,PIP e consultas externas,88,604,2757,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Urbanismo Prático,PIP — Informação Prévia,PIP e segurança da transação,89,567,2765,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Urbanismo Prático,Licenciamento 2026 — Prazos e Aceleração,Reforma do RJUE em 2026,90,616,2780,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Urbanismo Prático,Licenciamento 2026 — Prazos e Aceleração,Prazos máximos e deferimento tácito,91,588,3230,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232875,REESCRITA
Urbanismo Prático,Licenciamento 2026 — Prazos e Aceleração,Saneamento e apreciação liminar,92,616,3258,https://info.portaldasfinancas.gov.pt/,REESCRITA
Urbanismo Prático,Consultas Externas e Coordenação,Entidades externas,93,562,3103,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232875,REESCRITA
Urbanismo Prático,Consultas Externas e Coordenação,Consultas em paralelo e coordenação,94,545,3222,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232875,REESCRITA
Urbanismo Prático,Consultas Externas e Coordenação,Checklist de entidades,95,487,3131,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232875,REESCRITA
Urbanismo Prático,Comunicação Prévia e Responsabilidade Técnica,Quando existe comunicação prévia,96,572,3214,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Urbanismo Prático,Comunicação Prévia e Responsabilidade Técnica,Termos de responsabilidade,97,581,3172,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Urbanismo Prático,Comunicação Prévia e Responsabilidade Técnica,Fiscalização posterior,98,535,3144,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Urbanismo Prático,Utilização e Alteração de Uso,Utilização após obra — artigo 62.º-A,99,642,3285,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Urbanismo Prático,Utilização e Alteração de Uso,Alteração de uso sem obra prévia,100,588,3257,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Urbanismo Prático,Utilização e Alteração de Uso,Como verificar um título de utilização,101,558,3299,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Urbanismo Prático,Loteamentos e Obras de Urbanização,Operação de loteamento,102,481,3192,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Urbanismo Prático,Loteamentos e Obras de Urbanização,Obras de urbanização,103,507,3178,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Urbanismo Prático,Loteamentos e Obras de Urbanização,Alterações e validade,104,519,3185,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Urbanismo Prático,Reabilitação Urbana e Imóveis Existentes,ARU e reabilitação urbana,105,563,2749,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Urbanismo Prático,Reabilitação Urbana e Imóveis Existentes,Obras em edifícios existentes,106,553,2777,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Urbanismo Prático,Reabilitação Urbana e Imóveis Existentes,Antes de 1951: cuidado com simplificações,107,582,2410,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Urbanismo Prático,"Fiscalização, Ilegalidades e Regularização",Tutela da legalidade urbanística,108,555,2800,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232875,REESCRITA
Urbanismo Prático,"Fiscalização, Ilegalidades e Regularização","Embargo, reposição e legalização",109,539,2859,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Urbanismo Prático,"Fiscalização, Ilegalidades e Regularização",Divergências entre realidade e documentos,110,479,2863,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232875,REESCRITA
Urbanismo Prático,Due Diligence Urbanística e Casos Práticos,Checklist urbanística antes de angariar,111,467,2849,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232875,REESCRITA
Urbanismo Prático,Due Diligence Urbanística e Casos Práticos,Checklist antes de comprar para desenvolver,112,439,2877,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232875,REESCRITA
Urbanismo Prático,Due Diligence Urbanística e Casos Práticos,Caso final: imóvel com ampliação não documentada,113,589,2912,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232875,REESCRITA
Urbanismo Prático,Conversão de Utilizações — Casos Práticos,Loja → Habitação: percurso completo,114,2239,2820,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232875,REESCRITA
Urbanismo Prático,Conversão de Utilizações — Casos Práticos,Habitação → Serviços: o que muda,115,1578,2799,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232875,REESCRITA
Urbanismo Prático,Conversão de Utilizações — Casos Práticos,Loja → Serviços e Escritório → Habitação,116,917,2855,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232875,REESCRITA
Urbanismo Prático,Conversão de Utilizações — Casos Práticos,Armazém → Serviços: análise reforçada,117,876,2834,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232875,REESCRITA
Urbanismo Prático,Conversão de Utilizações — Casos Práticos,Alteração de uso SEM obras,118,1001,3227,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Urbanismo Prático,Conversão de Utilizações — Casos Práticos,Alteração de uso COM obras,119,1186,3227,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Urbanismo Prático,Conversão de Utilizações — Casos Práticos,Propriedade horizontal e mudança de uso,120,1088,2907,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Urbanismo Prático,Conversão de Utilizações — Casos Práticos,Caso recusado: diagnóstico e comercialização,121,876,2883,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232875,REESCRITA
Documentação Imobiliária Profissional,Documentos Base — aprender a cruzar informação,Certidão predial: o que realmente diz,122,983,3066,https://www.predialonline.pt/PredialOnline/faq_input.action,REESCRITA
Documentação Imobiliária Profissional,Documentos Base — aprender a cruzar informação,Caderneta predial: função fiscal e validade,123,995,3049,https://info.portaldasfinancas.gov.pt/,REESCRITA
Documentação Imobiliária Profissional,Documentos Base — aprender a cruzar informação,Cruzamento documental profissional,124,977,2528,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Documentação Imobiliária Profissional,Apartamento / Fração Autónoma,Checklist de apartamento,125,957,2480,https://justica.gov.pt/Servicos/Balcao-Casa-Pronta,REESCRITA
Documentação Imobiliária Profissional,Apartamento / Fração Autónoma,Condomínio e encargos,126,951,2343,https://justica.gov.pt/Servicos/Balcao-Casa-Pronta,REESCRITA
Documentação Imobiliária Profissional,Apartamento / Fração Autónoma,Divergências na fração,127,953,2301,https://justica.gov.pt/Servicos/Balcao-Casa-Pronta,REESCRITA
Documentação Imobiliária Profissional,Moradia,Checklist de moradia,128,949,2681,https://justica.gov.pt/Servicos/Balcao-Casa-Pronta,REESCRITA
Documentação Imobiliária Profissional,Moradia,Moradia antiga,129,937,2356,https://justica.gov.pt/Servicos/Balcao-Casa-Pronta,REESCRITA
Documentação Imobiliária Profissional,Moradia,"Logradouro, anexos e limites",130,965,2446,https://info.portaldasfinancas.gov.pt/,REESCRITA
Documentação Imobiliária Profissional,Terreno,Checklist documental de terreno,131,971,2196,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Documentação Imobiliária Profissional,Terreno,Terreno com projeto ou PIP,132,961,2350,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Documentação Imobiliária Profissional,Terreno,Como anunciar potencial construtivo,133,979,2845,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Documentação Imobiliária Profissional,"Loja, Escritório e Serviços",Checklist comercial,134,947,2694,https://justica.gov.pt/Servicos/Balcao-Casa-Pronta,REESCRITA
Documentação Imobiliária Profissional,"Loja, Escritório e Serviços",Loja não é automaticamente qualquer comércio,135,997,2869,https://justica.gov.pt/Servicos/Balcao-Casa-Pronta,REESCRITA
Documentação Imobiliária Profissional,"Loja, Escritório e Serviços",Conversão de uso,136,941,2732,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Documentação Imobiliária Profissional,Armazém e Imóveis Industriais,Checklist de armazém,137,949,2703,https://justica.gov.pt/Servicos/Balcao-Casa-Pronta,REESCRITA
Documentação Imobiliária Profissional,Armazém e Imóveis Industriais,Armazém para serviços/comércio,138,969,2773,https://justica.gov.pt/Servicos/Balcao-Casa-Pronta,REESCRITA
Documentação Imobiliária Profissional,Armazém e Imóveis Industriais,Infraestruturas e operação,139,961,2745,https://justica.gov.pt/Servicos/Balcao-Casa-Pronta,REESCRITA
Documentação Imobiliária Profissional,Prédio Inteiro,Checklist de prédio,140,947,2681,https://justica.gov.pt/Servicos/Balcao-Casa-Pronta,REESCRITA
Documentação Imobiliária Profissional,Prédio Inteiro,Prédio em propriedade total,141,963,2737,https://justica.gov.pt/Servicos/Balcao-Casa-Pronta,REESCRITA
Documentação Imobiliária Profissional,Prédio Inteiro,Investimento e rendimentos,142,961,2186,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Documentação Imobiliária Profissional,Imóvel em Construção / Projeto,O que está realmente aprovado,143,967,2826,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Documentação Imobiliária Profissional,Imóvel em Construção / Projeto,Ficha técnica e informação ao consumidor,144,989,2903,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Documentação Imobiliária Profissional,Imóvel em Construção / Projeto,Pré-certificado energético,145,961,2232,https://www.sce.pt/,REESCRITA
Documentação Imobiliária Profissional,Imóvel Arrendado,Comprar imóvel arrendado,146,957,2182,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Documentação Imobiliária Profissional,Imóvel Arrendado,Vender com arrendatário,147,955,2180,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Documentação Imobiliária Profissional,Imóvel Arrendado,Arrendar imóvel,148,939,2164,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Documentação Imobiliária Profissional,Certificado Energético,Quando é obrigatório,149,949,2696,https://www.sce.pt/,REESCRITA
Documentação Imobiliária Profissional,Certificado Energético,Publicidade,150,931,2633,https://www.sce.pt/,REESCRITA
Documentação Imobiliária Profissional,Certificado Energético,Exceções e validade,151,947,2689,https://www.sce.pt/,REESCRITA
Documentação Imobiliária Profissional,Venda — preparação do negócio,Dossier antes do CPCV,152,951,2739,https://justica.gov.pt/Servicos/Balcao-Casa-Pronta,REESCRITA
Documentação Imobiliária Profissional,Venda — preparação do negócio,Preferências públicas,153,951,2739,https://justica.gov.pt/Servicos/Balcao-Casa-Pronta,REESCRITA
Documentação Imobiliária Profissional,Venda — preparação do negócio,Simplex e a escritura,154,951,2710,https://justica.gov.pt/Servicos/Balcao-Casa-Pronta,REESCRITA
