formacao,modulo,aula,lesson_id,chars,found_acronyms
Iniciante · Entrar no Imobiliário,"CPCV, escritura e pós-venda",Do CPCV à conclusão do negócio,2,2146,CPCV
Iniciante · Entrar no Imobiliário,"CPCV, escritura e pós-venda",O que é o CPCV,38,2098,CPCV
Iniciante · Entrar no Imobiliário,"CPCV, escritura e pós-venda","Sinal, prazos e condições",39,2131,CPCV
Iniciante · Entrar no Imobiliário,"CPCV, escritura e pós-venda",Preparação do ato definitivo e pós-venda,40,2176,CPCV
Terrenos e Potencial Construtivo,O que é um terreno urbanizável?,Terreno urbanizável: expressão comercial vs. classificação do solo,194,1979,RAN;REN
Terrenos e Potencial Construtivo,O que é um terreno urbanizável?,Como começar uma análise de terreno,195,1886,RAN;REN
Terrenos e Potencial Construtivo,O que é um terreno urbanizável?,O que nunca prometer ao proprietário ou comprador,196,1928,RAN;REN
Terrenos e Potencial Construtivo,Como saber se pode construir,A sequência correta para avaliar edificabilidade,197,1789,
Terrenos e Potencial Construtivo,Como saber se pode construir,Edificabilidade não é apenas índice de construção,198,1793,
Terrenos e Potencial Construtivo,Como saber se pode construir,Quando pedir apoio técnico,199,1701,
Terrenos e Potencial Construtivo,PDM na prática,Como ler o PDM sem ser urbanista,200,2030,PDM
Terrenos e Potencial Construtivo,PDM na prática,"Classificação, qualificação e categoria de espaço",201,2081,PDM
Terrenos e Potencial Construtivo,PDM na prática,Planos diferentes podem afetar o mesmo terreno,202,2208,PDM;REN
Terrenos e Potencial Construtivo,"RAN, REN e condicionantes",RAN: o que significa na análise de um terreno,203,2043,RAN;REN
Terrenos e Potencial Construtivo,"RAN, REN e condicionantes",REN: atenção à alteração de 2026,204,2004,RAN;REN
Terrenos e Potencial Construtivo,"RAN, REN e condicionantes",Outras condicionantes que podem mudar o negócio,205,2049,RAN;REN
Terrenos e Potencial Construtivo,Infraestruturas e acessos,Acesso: existir caminho não basta,206,1726,
Terrenos e Potencial Construtivo,Infraestruturas e acessos,"Água, saneamento, eletricidade e telecomunicações",207,1790,
Terrenos e Potencial Construtivo,Infraestruturas e acessos,Topografia e forma da parcela,208,1710,
Terrenos e Potencial Construtivo,Loteamento,O que é uma operação de loteamento,209,1715,
Terrenos e Potencial Construtivo,Loteamento,O que conferir num lote existente,210,1711,
Terrenos e Potencial Construtivo,Loteamento,"Divisão física, destaque e loteamento não são a mesma coisa",211,1815,
Terrenos e Potencial Construtivo,Como desenvolver o terreno,Do potencial ao cenário de desenvolvimento,212,1907,RAN;REN
Terrenos e Potencial Construtivo,Como desenvolver o terreno,Estudo prévio: para que serve,213,1868,RAN;REN
Terrenos e Potencial Construtivo,Como desenvolver o terreno,"Estratégias: vender, licenciar ou desenvolver",214,1916,RAN;REN
Terrenos e Potencial Construtivo,Pedido de Informação Prévia — PIP,O que é o PIP e quando faz sentido,215,2030,PIP
Terrenos e Potencial Construtivo,Pedido de Informação Prévia — PIP,PIP em 2026: novos modelos e elementos,216,2042,PIP
Terrenos e Potencial Construtivo,Pedido de Informação Prévia — PIP,O que um PIP favorável não significa,217,2036,PIP
Terrenos e Potencial Construtivo,Do terreno ao projeto,As fases de um projeto imobiliário,218,1883,RAN;REN
Terrenos e Potencial Construtivo,Do terreno ao projeto,"Quem faz o quê: promotor, arquiteto, engenheiro e empreiteiro",219,1964,RAN;REN
Terrenos e Potencial Construtivo,Do terreno ao projeto,Prazo de desenvolvimento: não vender datas imaginárias,220,1943,RAN;REN
Terrenos e Potencial Construtivo,Análise económica,Preço do terreno vs. valor do projeto,221,1892,RAN;REN
Terrenos e Potencial Construtivo,Análise económica,Conta residual simplificada,222,1694,
Terrenos e Potencial Construtivo,Análise económica,Viabilidade económica antes da angariação,223,1838,
Terrenos e Potencial Construtivo,Como anunciar terrenos,Como descrever potencial construtivo com rigor,224,1919,RAN;REN
Terrenos e Potencial Construtivo,Como anunciar terrenos,Que documentos suportam um bom anúncio,225,1895,RAN;REN
Terrenos e Potencial Construtivo,Como anunciar terrenos,"Fotografias, mapas e plantas: contexto sem enganar",226,1931,RAN;REN
Terrenos e Potencial Construtivo,Casos práticos,Caso: terreno urbano com índice aparentemente favorável,227,1946,RAN;REN
Terrenos e Potencial Construtivo,Casos práticos,Caso: terreno em REN alterada em 2026,228,1892,RAN;REN
Terrenos e Potencial Construtivo,Casos práticos,Caso: vendedor anuncia “projeto aprovado”,229,1747,
Urbanismo Prático,Fundamentos de Urbanismo e Ordenamento,"Urbanismo, ordenamento e gestão territorial",78,1779,
Urbanismo Prático,Fundamentos de Urbanismo e Ordenamento,"RJIGT, RJUE e regulamentos municipais",79,2077,RJUE;RJIGT
Urbanismo Prático,Fundamentos de Urbanismo e Ordenamento,Onde consultar informação oficial,80,1739,
Urbanismo Prático,Classificação e Qualificação do Solo,Solo urbano e solo rústico,81,1774,PDM
Urbanismo Prático,Classificação e Qualificação do Solo,Reclassificação de solo,82,1697,
Urbanismo Prático,Classificação e Qualificação do Solo,Categorias de espaço e usos,83,1713,
Urbanismo Prático,Operações Urbanísticas e Procedimentos,Que operação está em causa?,84,1715,
Urbanismo Prático,Operações Urbanísticas e Procedimentos,"Licença, comunicação prévia e isenções",85,1759,
Urbanismo Prático,Operações Urbanísticas e Procedimentos,Modelos e elementos instrutórios de 2026,86,1767,
Urbanismo Prático,PIP — Informação Prévia,PIP do artigo 14.º,87,1982,PIP
Urbanismo Prático,PIP — Informação Prévia,PIP e consultas externas,88,2000,PIP
Urbanismo Prático,PIP — Informação Prévia,PIP e segurança da transação,89,2139,PIP;RAN
Urbanismo Prático,Licenciamento 2026 — Prazos e Aceleração,Reforma do RJUE em 2026,90,1873,RJUE
Urbanismo Prático,Licenciamento 2026 — Prazos e Aceleração,Prazos máximos e deferimento tácito,91,1749,
Urbanismo Prático,Licenciamento 2026 — Prazos e Aceleração,Saneamento e apreciação liminar,92,1918,IMI
Urbanismo Prático,Consultas Externas e Coordenação,Entidades externas,93,1673,
Urbanismo Prático,Consultas Externas e Coordenação,Consultas em paralelo e coordenação,94,1741,
Urbanismo Prático,Consultas Externas e Coordenação,Checklist de entidades,95,1689,
Urbanismo Prático,Comunicação Prévia e Responsabilidade Técnica,Quando existe comunicação prévia,96,1742,
Urbanismo Prático,Comunicação Prévia e Responsabilidade Técnica,Termos de responsabilidade,97,1718,
Urbanismo Prático,Comunicação Prévia e Responsabilidade Técnica,Fiscalização posterior,98,1702,
Urbanismo Prático,Utilização e Alteração de Uso,Utilização após obra — artigo 62.º-A,99,1742,
Urbanismo Prático,Utilização e Alteração de Uso,Alteração de uso sem obra prévia,100,1726,
Urbanismo Prático,Utilização e Alteração de Uso,Como verificar um título de utilização,101,1750,
Urbanismo Prático,Loteamentos e Obras de Urbanização,Operação de loteamento,102,1691,
Urbanismo Prático,Loteamentos e Obras de Urbanização,Obras de urbanização,103,1683,
Urbanismo Prático,Loteamentos e Obras de Urbanização,Alterações e validade,104,1687,
Urbanismo Prático,Reabilitação Urbana e Imóveis Existentes,ARU e reabilitação urbana,105,1878,ARU
Urbanismo Prático,Reabilitação Urbana e Imóveis Existentes,Obras em edifícios existentes,106,1725,
Urbanismo Prático,Reabilitação Urbana e Imóveis Existentes,Antes de 1951: cuidado com simplificações,107,1773,
Urbanismo Prático,"Fiscalização, Ilegalidades e Regularização",Tutela da legalidade urbanística,108,1739,
Urbanismo Prático,"Fiscalização, Ilegalidades e Regularização","Embargo, reposição e legalização",109,1739,
Urbanismo Prático,"Fiscalização, Ilegalidades e Regularização",Divergências entre realidade e documentos,110,1775,
Urbanismo Prático,Due Diligence Urbanística e Casos Práticos,Checklist urbanística antes de angariar,111,1767,
Urbanismo Prático,Due Diligence Urbanística e Casos Práticos,Checklist antes de comprar para desenvolver,112,1783,
Urbanismo Prático,Due Diligence Urbanística e Casos Práticos,Caso final: imóvel com ampliação não documentada,113,1803,
Urbanismo Prático,Conversão de Utilizações — Casos Práticos,Loja → Habitação: percurso completo,114,1750,
Urbanismo Prático,Conversão de Utilizações — Casos Práticos,Habitação → Serviços: o que muda,115,1738,
Urbanismo Prático,Conversão de Utilizações — Casos Práticos,Loja → Serviços e Escritório → Habitação,116,1770,
Urbanismo Prático,Conversão de Utilizações — Casos Práticos,Armazém → Serviços: análise reforçada,117,1758,
Urbanismo Prático,Conversão de Utilizações — Casos Práticos,Alteração de uso SEM obras,118,1714,
Urbanismo Prático,Conversão de Utilizações — Casos Práticos,Alteração de uso COM obras,119,1714,
Urbanismo Prático,Conversão de Utilizações — Casos Práticos,Propriedade horizontal e mudança de uso,120,1766,
Urbanismo Prático,Conversão de Utilizações — Casos Práticos,Caso recusado: diagnóstico e comercialização,121,1786,
Documentação Imobiliária Profissional,Documentos Base — aprender a cruzar informação,Certidão predial: o que realmente diz,122,2020,REN
Documentação Imobiliária Profissional,Documentos Base — aprender a cruzar informação,Caderneta predial: função fiscal e validade,123,2766,REN;VPT
Documentação Imobiliária Profissional,Documentos Base — aprender a cruzar informação,Cruzamento documental profissional,124,1883,RAN;REN
Documentação Imobiliária Profissional,Apartamento / Fração Autónoma,Checklist de apartamento,125,1694,
Documentação Imobiliária Profissional,Apartamento / Fração Autónoma,Condomínio e encargos,126,1682,
Documentação Imobiliária Profissional,Apartamento / Fração Autónoma,Divergências na fração,127,1686,
Documentação Imobiliária Profissional,Moradia,Checklist de moradia,128,1656,
Documentação Imobiliária Profissional,Moradia,Moradia antiga,129,1632,
Documentação Imobiliária Profissional,Moradia,"Logradouro, anexos e limites",130,1873,IMI
Documentação Imobiliária Profissional,Terreno,Checklist documental de terreno,131,1874,RAN;REN
Documentação Imobiliária Profissional,Terreno,Terreno com projeto ou PIP,132,2142,PIP;REN
Documentação Imobiliária Profissional,Terreno,Como anunciar potencial construtivo,133,1886,RAN;REN
Documentação Imobiliária Profissional,"Loja, Escritório e Serviços",Checklist comercial,134,1672,
Documentação Imobiliária Profissional,"Loja, Escritório e Serviços",Loja não é automaticamente qualquer comércio,135,1772,
Documentação Imobiliária Profissional,"Loja, Escritório e Serviços",Conversão de uso,136,1660,
Documentação Imobiliária Profissional,Armazém e Imóveis Industriais,Checklist de armazém,137,1678,
Documentação Imobiliária Profissional,Armazém e Imóveis Industriais,Armazém para serviços/comércio,138,1718,
Documentação Imobiliária Profissional,Armazém e Imóveis Industriais,Infraestruturas e operação,139,1702,
Documentação Imobiliária Profissional,Prédio Inteiro,Checklist de prédio,140,1659,
Documentação Imobiliária Profissional,Prédio Inteiro,Prédio em propriedade total,141,1691,
Documentação Imobiliária Profissional,Prédio Inteiro,Investimento e rendimentos,142,1859,RAN;REN
Documentação Imobiliária Profissional,Imóvel em Construção / Projeto,O que está realmente aprovado,143,1715,
Documentação Imobiliária Profissional,Imóvel em Construção / Projeto,Ficha técnica e informação ao consumidor,144,1759,
Documentação Imobiliária Profissional,Imóvel em Construção / Projeto,Pré-certificado energético,145,1749,SCE
Documentação Imobiliária Profissional,Imóvel Arrendado,Comprar imóvel arrendado,146,1853,RAN;REN
Documentação Imobiliária Profissional,Imóvel Arrendado,Vender com arrendatário,147,1850,RAN;REN
Documentação Imobiliária Profissional,Imóvel Arrendado,Arrendar imóvel,148,1826,RAN;REN
Documentação Imobiliária Profissional,Certificado Energético,Quando é obrigatório,149,1731,SCE
Documentação Imobiliária Profissional,Certificado Energético,Publicidade,150,1704,SCE
Documentação Imobiliária Profissional,Certificado Energético,Exceções e validade,151,1728,SCE
Documentação Imobiliária Profissional,Venda — preparação do negócio,Dossier antes do CPCV,152,2119,CPCV
Documentação Imobiliária Profissional,Venda — preparação do negócio,Preferências públicas,153,1682,
Documentação Imobiliária Profissional,Venda — preparação do negócio,Simplex e a escritura,154,1682,
Documentação Imobiliária Profissional,Casos Práticos e Avaliação,Apartamento com marquise,155,1691,
Documentação Imobiliária Profissional,Casos Práticos e Avaliação,Moradia com anexo,156,1663,
Documentação Imobiliária Profissional,Casos Práticos e Avaliação,Terreno 'para 6 moradias',157,1856,RAN;REN
Prática Profissional Avançada,Angariação e CMI,Preparar uma angariação juridicamente segura,158,2105,CMI
Prática Profissional Avançada,Angariação e CMI,Contrato de Mediação Imobiliária — CMI,159,2087,CMI
Prática Profissional Avançada,Angariação e CMI,Deveres da mediadora durante a angariação,160,2223,CMI;RAN
Prática Profissional Avançada,Compra e Venda — Processo Completo,Da proposta à preparação do negócio,161,1743,
Prática Profissional Avançada,Compra e Venda — Processo Completo,Due diligence antes do CPCV,162,2137,CPCV
Prática Profissional Avançada,Compra e Venda — Processo Completo,Do CPCV ao título definitivo,163,2140,CPCV
Prática Profissional Avançada,"CPCV, Sinal, Incumprimento e Escritura",O que deve ficar claro no CPCV,164,2146,CPCV
Prática Profissional Avançada,"CPCV, Sinal, Incumprimento e Escritura",Sinal e incumprimento,165,2119,CPCV
Prática Profissional Avançada,"CPCV, Sinal, Incumprimento e Escritura",Preparar a escritura/DPA,166,2275,CPCV;DPA
Prática Profissional Avançada,Financiamento e Avaliação Bancária,Crédito habitação: FINE e solvabilidade,167,1939,FINE
Prática Profissional Avançada,Financiamento e Avaliação Bancária,Avaliação bancária do imóvel,168,1715,
Prática Profissional Avançada,Financiamento e Avaliação Bancária,Compra dependente de financiamento,169,1739,
Prática Profissional Avançada,Fiscalidade Imobiliária,IMT e Imposto do Selo na aquisição,170,1930,IMT
Prática Profissional Avançada,Fiscalidade Imobiliária,Mais-valias e fiscalidade do vendedor,171,1740,
Prática Profissional Avançada,Fiscalidade Imobiliária,"IMI, AIMI e fiscalidade na exploração",172,2061,IMI;AIMI
Prática Profissional Avançada,Arrendamento,Contrato e finalidade,173,1844,RAN;REN
Prática Profissional Avançada,Arrendamento,"Rendas, caução e garantias",174,1986,RAN;REN
Prática Profissional Avançada,Arrendamento,Venda de imóvel arrendado,175,1856,RAN;REN
Prática Profissional Avançada,"Heranças, Compropriedade e Divórcio",Imóvel em herança,176,1823,RAN;REN
Prática Profissional Avançada,"Heranças, Compropriedade e Divórcio",Compropriedade,177,1814,RAN;REN
Prática Profissional Avançada,"Heranças, Compropriedade e Divórcio","Divórcio, casamento e legitimidade",178,2019,RAN;REN;IMI
Prática Profissional Avançada,Prevenção do Branqueamento de Capitais — AML,Porque o imobiliário é atividade abrangida,179,2015,RAN;REN;AML
Prática Profissional Avançada,Prevenção do Branqueamento de Capitais — AML,"Identificação, beneficiário efetivo e origem de fundos",180,2051,RAN;REN;AML
Prática Profissional Avançada,Prevenção do Branqueamento de Capitais — AML,Sinais de alerta no negócio imobiliário,181,2006,RAN;REN;AML
Prática Profissional Avançada,RGPD e Proteção de Dados,Dados pessoais na mediação,182,1890,RGPD
Prática Profissional Avançada,RGPD e Proteção de Dados,Consentimento não é a única base jurídica,183,1935,RGPD
Prática Profissional Avançada,RGPD e Proteção de Dados,"Fotografias, visitas e partilha documental",184,1938,RGPD
Prática Profissional Avançada,Publicidade Imobiliária,O anúncio tem de corresponder ao imóvel,185,1748,
Prática Profissional Avançada,Publicidade Imobiliária,Certificado energético no anúncio,186,1770,SCE
Prática Profissional Avançada,Publicidade Imobiliária,Publicidade de terrenos e projetos,187,1883,RAN;REN
Prática Profissional Avançada,Certificação Energética — Avançado,Quando o SCE entra na transação,188,2004,RAN;SCE
Prática Profissional Avançada,Certificação Energética — Avançado,Validade e substituição do certificado,189,1785,SCE
Prática Profissional Avançada,Certificação Energética — Avançado,Terreno com projeto e pré-certificado,190,1958,REN;SCE
Prática Profissional Avançada,Casos Práticos Avançados,Caso integrado: venda com financiamento e divergência documental,191,1849,
Prática Profissional Avançada,Casos Práticos Avançados,"Caso integrado: herança, anexo e compropriedade",192,1913,RAN;REN
Prática Profissional Avançada,Casos Práticos Avançados,Caso integrado: loja para habitação,193,1733,
